vmechannel,vmechannelr,flatcable,mppcch
1,0,A3,F7
3,2,A5,F8
5,4,A7,E8
7,6,A9,E7
9,8,A11,F6
11,10,A13,E6
13,12,A15,E5
15,14,A17,F5
17,16,A19,G7
19,18,A21,G8
21,20,A23,H8
23,22,A25,H7
25,24,A27,G6
27,26,A29,H6
29,28,A31,H5
31,30,A33,G5
0,1,B3,F2
2,3,B5,F1
4,5,B7,E1
6,7,B9,E2
8,9,B11,F3
10,11,B13,E3
12,13,B15,E4
14,15,B17,F4
16,17,B19,G2
18,19,B21,G1
20,21,B23,H1
22,23,B25,H2
24,25,B27,G3
26,27,B29,H3
28,29,B31,H4
30,31,B33,G4
33,32,A3,C2
35,34,A5,C1
37,36,A7,D1
39,38,A9,D2
41,40,A11,C3
43,42,A13,D3
45,44,A15,D4
47,46,A17,C4
49,48,A19,B2
51,50,A21,B1
53,52,A23,A1
55,54,A25,A2
57,56,A27,B3
59,58,A29,A3
61,60,A31,A4
63,62,A33,B4
32,33,B3,C7
34,35,B5,C8
36,37,B7,D8
38,39,B9,D7
40,41,B11,C6
42,43,B13,D6
44,45,B15,D5
46,47,B17,C5
48,49,B19,B7
50,51,B21,B8
52,53,B23,A8
54,55,B25,A7
56,57,B27,B6
58,59,B29,A6
60,61,B31,A5
62,63,B33,B5